Timestamp,Usuario,Rol,Accion,Entidad,ID_Entidad,Detalle
2023-01-01 11:15:33,bcruz1,Paciente,CITA_CREADA,Cita,ID-09235,Operacion registrada automaticamente
2023-01-01 12:06:34,admin,Administrador,BUSQUEDA,Global,ID-01426,Operacion registrada automaticamente
2023-01-01 12:37:11,dfigueroa20,Paciente,CITA_COMPLETADA,Cita,ID-02145,Operacion registrada automaticamente
2023-01-01 16:55:38,fgomez3,Paciente,CITA_CREADA,Cita,ID-02189,Operacion registrada automaticamente
2023-01-02 10:10:46,dtapuy74,Medico,RECETA_EMITIDA,Receta,ID-03373,Operacion registrada automaticamente
2023-01-02 11:20:30,daguilar64,Medico,RECETA_EMITIDA,Receta,ID-03690,Operacion registrada automaticamente
2023-01-02 13:08:46,admin,Administrador,FACTURA_EMITIDA,Factura,ID-05880,Operacion registrada automaticamente
2023-01-02 15:43:21,dlopez50,Paciente,CITA_COMPLETADA,Cita,ID-07197,Operacion registrada automaticamente
2023-01-02 17:53:30,lgomez36,Paciente,CITA_CREADA,Cita,ID-02479,Operacion registrada automaticamente
2023-01-03 11:30:48,admin,Administrador,BUSQUEDA,Global,ID-05293,Operacion registrada automaticamente
2023-01-04 12:09:56,admin,Administrador,FACTURA_EMITIDA,Factura,ID-04301,Operacion registrada automaticamente
2023-01-05 08:57:46,rshiguango25,Paciente,LOGIN_OK,Usuario,ID-00530,Operacion registrada automaticamente
2023-01-06 10:50:11,aramirez44,Paciente,CITA_COMPLETADA,Cita,ID-02108,Operacion registrada automaticamente
2023-01-06 12:24:50,dperez74,Medico,RECETA_EMITIDA,Receta,ID-05532,Operacion registrada automaticamente
2023-01-06 16:09:37,bmendez4,Paciente,CITA_CREADA,Cita,ID-03861,Operacion registrada automaticamente
2023-01-06 17:38:54,sromero12,Paciente,CITA_COMPLETADA,Cita,ID-09625,Operacion registrada automaticamente
2023-01-06 17:42:26,dmartinez70,Medico,HISTORIAL_ENTRADA,Historial,ID-04932,Operacion registrada automaticamente
2023-01-08 08:45:34,admin,Administrador,BUSQUEDA,Global,ID-01592,Operacion registrada automaticamente
2023-01-08 09:21:46,iramirez23,Paciente,LOGIN_OK,Usuario,ID-04956,Operacion registrada automaticamente
2023-01-08 13:00:34,admin,Administrador,FACTURA_EMITIDA,Factura,ID-07740,Operacion registrada automaticamente
2023-01-08 14:06:30,admin,Administrador,FACTURA_EMITIDA,Factura,ID-00183,Operacion registrada automaticamente
2023-01-09 12:07:59,ddiaz64,Medico,HISTORIAL_ENTRADA,Historial,ID-08062,Operacion registrada automaticamente
2023-01-09 16:23:11,admin,Administrador,BUSQUEDA,Global,ID-09039,Operacion registrada automaticamente
2023-01-10 11:38:24,fgrefa18,Paciente,CITA_CANCELADA,Cita,ID-00725,Operacion registrada automaticamente
2023-01-10 17:09:40,cmendez20,Paciente,HISTORIAL_CONSULTA,Historial,ID-02032,Operacion registrada automaticamente
2023-01-10 17:55:23,hjimenez5,Paciente,PAGO_REGISTRADO,Factura,ID-05907,Operacion registrada automaticamente
2023-01-11 11:27:25,aruiz29,Paciente,HISTORIAL_CONSULTA,Historial,ID-04078,Operacion registrada automaticamente
2023-01-11 14:56:59,cruiz46,Paciente,PAGO_REGISTRADO,Factura,ID-07737,Operacion registrada automaticamente
2023-01-11 15:31:51,druiz67,Medico,RECETA_EMITIDA,Receta,ID-06447,Operacion registrada automaticamente
2023-01-12 08:12:20,drivera21,Paciente,HISTORIAL_CONSULTA,Historial,ID-09779,Operacion registrada automaticamente
2023-01-12 09:03:22,admin,Administrador,FACTURA_EMITIDA,Factura,ID-00263,Operacion registrada automaticamente
2023-01-12 10:53:29,dlopez50,Paciente,PAGO_REGISTRADO,Factura,ID-07698,Operacion registrada automaticamente
2023-01-12 12:10:45,admin,Administrador,BUSQUEDA,Global,ID-06300,Operacion registrada automaticamente
2023-01-12 13:43:28,hcaceres10,Paciente,CITA_CREADA,Cita,ID-09059,Operacion registrada automaticamente
2023-01-13 08:26:40,dcerda14,Paciente,CITA_COMPLETADA,Cita,ID-03349,Operacion registrada automaticamente
2023-01-13 09:24:02,admin,Administrador,BUSQUEDA,Global,ID-07885,Operacion registrada automaticamente
2023-01-13 11:12:17,ccastro52,Paciente,CITA_CREADA,Cita,ID-07009,Operacion registrada automaticamente
2023-01-14 09:25:21,lcruz27,Paciente,CITA_COMPLETADA,Cita,ID-05915,Operacion registrada automaticamente
2023-01-14 14:56:46,dlopez75,Medico,RECETA_EMITIDA,Receta,ID-01090,Operacion registrada automaticamente
2023-01-15 09:27:33,cespinoza44,Paciente,CITA_CANCELADA,Cita,ID-05681,Operacion registrada automaticamente
2023-01-15 13:54:44,ctorres71,Paciente,CITA_CANCELADA,Cita,ID-07698,Operacion registrada automaticamente
2023-01-15 15:44:37,ctorres71,Paciente,CITA_COMPLETADA,Cita,ID-00275,Operacion registrada automaticamente
2023-01-15 16:38:43,agrefa27,Paciente,CITA_COMPLETADA,Cita,ID-04009,Operacion registrada automaticamente
2023-01-16 12:14:31,admin,Administrador,FACTURA_EMITIDA,Factura,ID-09315,Operacion registrada automaticamente
2023-01-16 15:12:08,admin,Administrador,FACTURA_EMITIDA,Factura,ID-01329,Operacion registrada automaticamente
2023-01-16 16:03:02,rchavez14,Paciente,CITA_CREADA,Cita,ID-02639,Operacion registrada automaticamente
2023-01-17 10:32:31,druiz67,Medico,RECETA_EMITIDA,Receta,ID-06883,Operacion registrada automaticamente
2023-01-17 15:03:39,vcaceres2,Paciente,CITA_COMPLETADA,Cita,ID-04441,Operacion registrada automaticamente
2023-01-17 16:09:37,admin,Administrador,FACTURA_EMITIDA,Factura,ID-02392,Operacion registrada automaticamente
2023-01-18 08:30:26,admin,Administrador,BUSQUEDA,Global,ID-07364,Operacion registrada automaticamente
2023-01-18 11:57:19,rchavez14,Paciente,PAGO_REGISTRADO,Factura,ID-07977,Operacion registrada automaticamente
2023-01-18 14:49:18,acastillo36,Paciente,LOGIN_OK,Usuario,ID-01001,Operacion registrada automaticamente
2023-01-18 16:33:00,mgarcia63,Paciente,HISTORIAL_CONSULTA,Historial,ID-08323,Operacion registrada automaticamente
2023-01-19 13:10:15,hvega5,Paciente,LOGIN_OK,Usuario,ID-01440,Operacion registrada automaticamente
2023-01-19 14:05:35,cruiz46,Paciente,LOGIN_OK,Usuario,ID-08185,Operacion registrada automaticamente
2023-01-20 13:37:16,admin,Administrador,FACTURA_EMITIDA,Factura,ID-05324,Operacion registrada automaticamente
2023-01-20 13:59:06,vcaceres2,Paciente,PAGO_REGISTRADO,Factura,ID-02367,Operacion registrada automaticamente
2023-01-21 13:10:07,dlopez75,Medico,RECETA_EMITIDA,Receta,ID-03019,Operacion registrada automaticamente
2023-01-22 08:12:07,ftapuy41,Paciente,CITA_CREADA,Cita,ID-06048,Operacion registrada automaticamente
2023-01-22 08:59:44,dherrera66,Medico,HISTORIAL_ENTRADA,Historial,ID-08334,Operacion registrada automaticamente
2023-01-24 08:25:19,mchavez33,Paciente,PAGO_REGISTRADO,Factura,ID-03148,Operacion registrada automaticamente
2023-01-24 16:09:05,bmendez4,Paciente,CITA_CANCELADA,Cita,ID-02910,Operacion registrada automaticamente
2023-01-24 16:59:55,hjimenez5,Paciente,HISTORIAL_CONSULTA,Historial,ID-02527,Operacion registrada automaticamente
2023-01-25 11:43:32,cmartinez31,Paciente,CITA_COMPLETADA,Cita,ID-08722,Operacion registrada automaticamente
2023-01-25 12:19:31,admin,Administrador,BUSQUEDA,Global,ID-03006,Operacion registrada automaticamente
2023-01-25 12:22:11,mruiz,Paciente,PAGO_REGISTRADO,Factura,ID-06481,Operacion registrada automaticamente
2023-01-25 15:27:05,eherrera16,Paciente,PAGO_REGISTRADO,Factura,ID-04296,Operacion registrada automaticamente
2023-01-25 15:47:54,lmendez23,Paciente,PAGO_REGISTRADO,Factura,ID-01122,Operacion registrada automaticamente
2023-01-25 17:51:46,dlopez50,Paciente,CITA_COMPLETADA,Cita,ID-07102,Operacion registrada automaticamente
2023-01-26 08:08:57,mortega9,Paciente,CITA_CANCELADA,Cita,ID-06313,Operacion registrada automaticamente
